| 2014-10-05 |               69 |              53 |              85 |               64 |               85 |              41 |              94 |                1,975 |                2,006 |                 0.00 |                  0.17 |                 2.90 |
| 2014-10-11 |               76 |              66 |              85 |               62 |               83 |              44 |              94 |                1,990 |                1,962 |                 0.02 |                  0.18 |                 3.02 |
| 2014-10-12 |               76 |              65 |              87 |               62 |               83 |              42 |              96 |                1,977 |                1,991 |                 0.35 |                  0.18 |                 3.37 |
| 2014-10-13 |               72 |              59 |              85 |               62 |               83 |              36 |              94 |                1,977 |                1,991 |                 0.61 |                  0.18 |                 2.55 |
| 2014-10-14 |               67 |              54 |              79 |               61 |               83 |              40 |              92 |                1,977 |                1,954 |                 0.00 |                  0.19 |                 4.91 |
| 2014-10-15 |               68 |              51 |              84 |               61 |               82 |              40 |              92 |                1,978 |                1,947 |                 0.00 |                  0.20 |                 4.87 |
| 2014-10-17 |               73 |              60 |              86 |               61 |               82 |              40 |              93 |                1,977 |                1,895 |                 0.00 |                  0.20 |                 4.31 |
| 2014-10-19 |               72 |              62 |              81 |               60 |               81 |              36 |              94 |                1,989 |                2,004 |                 0.00 |                  0.21 |                 1.23 |
| 2014-10-26 |               71 |              56 |              85 |               58 |               79 |              39 |              92 |                1,892 |                2,010 |                 0.00 |                  0.20 |                 2.43 |
| 2014-11-02 |               57 |              41 |              72 |               56 |               77 |              34 |              89 |                1,991 |                1,978 |                 0.00 |                  0.14 |                 4.58 |
| 2014-11-03 |               67 |              53 |              80 |               56 |               77 |              30 |              87 |                1,999 |                1,992 |                 0.00 |                  0.15 |                 3.09 |
| 2014-11-05 |               69 |              64 |              74 |               55 |               76 |              31 |              88 |                1,991 |                1,963 |                 1.12 |                  0.16 |                 5.22 |
| 2014-11-07 |               57 |              49 |              65 |               55 |               75 |              29 |              88 |                1,993 |                2,002 |                 0.00 |                  0.15 |                 1.46 |
| 2014-11-10 |               63 |              45 |              80 |               54 |               74 |              30 |              88 |                1,977 |                1,988 |                 0.00 |                  0.15 |                 2.85 |
| 2014-11-19 |               50 |              30 |              69 |               51 |               71 |              30 |              85 |                2,014 |                1,985 |                 0.00 |                  0.14 |                 2.10 |
| 2014-11-22 |               63 |              58 |              68 |               50 |               70 |              30 |              87 |                1,975 |                1,973 |                 0.11 |                  0.13 |                 3.09 |
| 2014-11-27 |               55 |              43 |              67 |               49 |               69 |              26 |              84 |                1,975 |                1,989 |                 0.00 |                  0.14 |                 3.12 |
| 2014-11-29 |               69 |              60 |              78 |               48 |               68 |              22 |              83 |                1,976 |                2,006 |                 0.00 |                  0.15 |                 3.47 |
| 2014-12-01 |               57 |              45 |              69 |               47 |               67 |              26 |              83 |                1,979 |                2,012 |                 0.03 |                  0.15 |                 5.80 |
| 2014-12-10 |               56 |              42 |              69 |               45 |               65 |              20 |              83 |                1,978 |                1,939 |                 0.00 |                  0.12 |                 4.41 |
| 2014-12-12 |               66 |              57 |              75 |               45 |               65 |              25 |              82 |                1,989 |                1,948 |                 0.00 |                  0.13 |                 2.57 |
| 2014-12-13 |               64 |              54 |              74 |               45 |               65 |              19 |              82 |                1,989 |                1,921 |                 0.00 |                  0.12 |                 2.85 |
| 2014-12-19 |               56 |              52 |              59 |               44 |               64 |              20 |              81 |                1,929 |                1,978 |                 3.06 |                  0.12 |                 3.06 |
| 2014-12-20 |               52 |              50 |              54 |               44 |               63 |              21 |              81 |                1,996 |                1,951 |                 0.00 |                  0.12 |                 2.02 |
| 2014-12-31 |               42 |              37 |              46 |               43 |               63 |              18 |              82 |                1,983 |                1,974 |                 0.00 |                  0.10 |                 3.35 |
